Authors,Title,Discipline,Source title
"Letham B., Dundas I., Earnshaw J., Eshom B., Fisher S., Fisher G., Greening S., Letham E., Reece J., Robinson R., Sellers I.",The Moore Islands Project: Deep-time Indigenous history and landscape change on the outer Northwest Coast of North America,,Antiquity
Chakraborty P.,Postcolonial Theory and the Challenge of Caste: Nationalism and the Case of “English” in India,,Interventions
"Ryan M., Keating D., Finegan J.",Managing and accessing web archives: Irish practitioners’ perspectives,,AI and Society
"Miller C.G., Brewer P., Carine M., Comerford G., Hardy H., Hart A., Long S., Price B.W., Smith C.L., Smith D.A., Smith M., Stevens L., Thompson K., Valentine C., Vincent S., Wilson S., Woodburn M.","Join the Dots: assessing a collection of 80 million items at The Natural History Museum, London",,Museum Management and Curatorship
"Xu Y., Sheng P., Xiong J., Meng H., Wei P., Sun C., Jia H., Liu J., Tian Y., Sun F., Wen S.",Migration in Bronze Age southern China: Multidisciplinary investigations of elite Chu burials in Jingzhou,,Antiquity
"Lee H.-W., Chang M.-Y., Chou W.-Y., Hwang J.-S., Fu Y.-C.",From indirect to direct contacts on Facebook: A big-data approach to the making of triadic network closure,,Canadian Review of Sociology
Olesen M.R.,The beginnings of Danish foreign policy activism: Supporting Baltic independence 1990-1991,,Scandinavian Journal of History
Chin M.,Queering Chinese Crossings in Late Twentieth Century Jamaica: Larry Chang and the Gay Freedom Movement,,Interventions
McMillan R.O.,The problem of poverty: the Elberfeld System and transatlantic social reform,,Journal of Transatlantic Studies
Moravec M.,"Taking time seriously: the Bergsonism of Karin Costelloe-Stephen, Hilda Oakeley, and May Sinclair",,British Journal for the History of Philosophy
Luo J.J.,Is Work a Burden? The Role of the Living Standard,,Social Indicators Research
Yapıcı U.,Chto Takoe Sovetskaya Diaspora? Is There a Living and Ideologically Sovieticized ‘Soviet Diaspora’?,,Journal of Balkan and Near Eastern Studies
Smith M.,Beyond a Single Story: Peripheral Histories of Boys Brought Up in a Residential School,,Ethics and Social Welfare
Anjum M.I.,An Islamic critique of rival economic systems’ theories of interest,,International Journal of Ethics and Systems
Hîncu A.,Social science and Marxist humanism beyond collectivism in Socialist Romania,,History of the Human Sciences
"Fernández-de-Pinedo N., La Parra-Perez A., Muñoz F.-F.",Recent trends in publications of economic historians in Europe and North America (1980–2019): an empirical analysis,,Cliometrica
Wolny M.,Founding of Qarthadasht in North Africa - As a problem in the research on the chronology of the earliest history of Carthage [Fondation de Qarthadasht en Afrique du Nord - comme problème dans les recherches sur la chronologie de la plus ancienne histoire de Carthage],,Schole
Solomon J.,Caldwell's Dravidians: Knowledge production and the representational strategies of missionary scholars in colonial South India,,Modern Asian Studies
Zorlu D.,"Powerful women, postfeminism, and fantasies of patriarchal recuperation in Magnificent Century",,New Review of Film and Television Studies
"Wilson N., Battershill C., Clarkson H., Hannah M.N., Nokhrin I., Willson Gordon E.","Digital critical archives, copyright, and feminist praxis",,Archival Science
"Hunt J.W., Davis S.E.","‘So, mein Deutsch ist schlecht … ’: echoes of societal attitudes and education language policies within the family language policies of second- and third-generation German speakers in Newcastle, Australia",,International Journal of Multilingualism
Vella F.,"Broadcasting the Italian voice’s broadcasting: opera and Italy on the air, 1920s–1930s",,Journal of Modern Italian Studies
Dalley C.,"Pastoralism’s distributive ruse: Extractivism, financialization, Indigenous labour and a rightful share in Northern Australia",,History and Anthropology
Daozhi X.,Black Lives Matter: Solidarity Between Indigenous and Chinese Australians?,,Interventions
Juricic T.,And the Marble Ass saw the second coming of Tito: Želimir Žilnik’s cinematic representations of a transitional society through the revolutionary carnivalesque,,Studies in Eastern European Cinema
Gerard N.,Still servants of work? Exploring the role of the critic in work and organizational psychology,,Applied Psychology
Schmidt E.M.,"The unsettled Atlantic World of James Pinnock: The dynamics of race and class on the physical, social, and occupation mobilities of an eighteenth-century Jamaican houseful",,Atlantic Studies : Global Currents 
De Melo Alvarenga F.,AN INDIGENOUS PARAÍBA VALLEY: ETHNIC CONFLICTS AND THE TRANSFORMATION OF INDIGENOUS PROPERTY IN VALENÇA (1780-1835) [POR UM VALE DO PARAÍBA INDÍGENA: CONFLITOS ÉTNICOS E A TRANSFORMAÇÃO DA PROPRIEDADE DOS ÍNDIOS EM VALENÇA (1780-1835)],,Revista de Historia (Brazil)
Metzger J.,Nietzsche and the Principle of Charity,,European Legacy
Leighton G.,How Global was Medieval Prussia? An Analysis of the Barlaam and Josaphat Manuscript of the Teutonic Knights at the Turn of the Fifteenth Century,,History
"Mercure Jolette F., Hatton-Proulx C., Van Neste S.L.",Mobilizing Suburban Stereotypes: The Case of Ville d’Anjou (1956-1973),,Journal of Urban History
Landolfi F.,Law enforcement and academic studies in Italy and the United States: a comparison,,Journal of Modern Italian Studies
Brown J.L.,Educating in the context of ‘Dispersal’: rural schools and refugee-background students,,International Journal of Inclusive Education
Glew L.,Documenting insanity: Paperwork and patient narratives in psychiatric history*,,History of the Human Sciences
Jenkins B.,"The 'Stronsay Beast': Testimony, evidence and authority in early nineteenth-century natural history",,Notes and Records 
Aliaga G.L.,From Viridiana by Luis Buñuel to Carmen by Carlos Saura. Conversations about cinematographic montage with Pedro del Rey [De Viridiana de Luis Buñuel a Carmen de Carlos Saura. Conversaciones sobre montaje cinematográfico con Pedro del Rey],,Fotocinema
Homazadeh M.,An account of Suhrawardī's allegories in light of the illuminationist philosophy,,International Journal of Platonic Tradition
Pearl S.,Introduction: Theorizing and applying the meaningfully anecdotal patient in neurodiversity research,,Notes and Records 
Zayas V.A.,"Relajo and carnival humor as political satire in A Wonderful World (Estrada, 2006) [Relajo y humor carnavalesco como sátira política en Un mundo maravilloso (Estrada, 2006)]",,Fotocinema
Lobo O.,"Winning the street: images of resistance(s) in Chili. About Hoy y no Mañana (Today and not tomorrow, Josefina Morandé, 2018) [Ganar la calle: imágenes de la(s) resistencia(s) en Chile. A propósito de Hoy y no mañana (Josefina Morandé, 2018)]",,Fotocinema
Lasús C.D.,A new historical subject. Democracy and the historians [Un nuevo objeto histórico. La democracia y los historiadores],,Pasado y Memoria
Behre S.,France’s Two Vietnams: Intellectual Protest Politics in Perspective,,Palgrave Studies in the History of Social Movements
Hupfel S.,THE ECONOMISTS AND THE COMBINATION LAWS: A REAPPRAISAL,,Journal of the History of Economic Thought
"Hodgkinson D., Melchiorre L.",The Vietnam War in Africa,,Palgrave Studies in the History of Social Movements
Macartney A.F.,"The Japanese New Left, the Vietnam War, and Anti-Imperial Protest",,Palgrave Studies in the History of Social Movements
de Haan F.,The Vietnam Activities of the Women’s International Democratic Federation (WIDF),,Palgrave Studies in the History of Social Movements
"Isiani M.C., Onyemechalu S.J., Osinem S.C., Dimelu S.A., Obi-Ani N.A.",Not all deities were transformed in Igboland: a cultural history of the Api-Opi deity,,Journal of Cultural Heritage Management and Sustainable Development
Kwak T.Y.,"The Vietnam War, Protest, and Democratization in South Korea",,Palgrave Studies in the History of Social Movements
Holmes M.,Houseflies and fungi: The promise of an early twentieth-century biotechnology,,Notes and Records 
Christiaens K.,“To Go Further Than Words Alone”: The World Peace Council and the Global Orchestration of Vietnam War Campaigns During the 1960s,,Palgrave Studies in the History of Social Movements
Low R.,Follow the breath: mindfulness as travelling pedagogy,,History of Education Review
Sedlmaier A.,Protest in the Era of the Indochina Wars: Upending Centre and Periphery,,Palgrave Studies in the History of Social Movements
"Birjandi S., Shajari R., Fouladi A., Rasulnia A.H.",The Typology of Formulaic Speech in Charand o' Parand of Dehkhoda,,Language Related Research
Foley D.,"‘Their proper place’: women, work and the marriage bar in independent Ireland, c. 1924–1973",,Social History
"Sims-Schouten W., Weindling P.","“All emigrants are up to the physical, mental, and moral standards required”: A tale of two child rescue schemes",,Journal of the History of the Behavioral Sciences
DeGrazia D.,On Ethicists and Their Diets,,The Hastings Center report
Lisabeth L.,Strunk and White and Whiteness,,College Composition and Communication
Van Schalkwyk S.,Dark Water: Rustum Kozain’s This Carting Life (2005),,Interventions
Liu W.,The role of English education in China’s shifting national identity,,Asian Englishes
Antorino T.,Myth-Busters: Women Writers and the Myths of Modern Male Individualism in Early Twentieth-Century Spain,,Bulletin of Spanish Studies
Prempeh C.,"""Hijab Is My Identity"": Beyond the Politics of the Veil: The Appropriations of the Veil in an Inner- City Muslim Area of Accra (Ghana) since the 1980s",,Journal of Africana Religions
"Šuch J., Jančovič I.",Reflection on Wolf Schmid's Narratological Model and Historical Narrative,,Human Affairs
Ogunnaike A.,"Damned If You Do, Damned If You Don't: The Paradox of Africana Religions' Legal Status",,Journal of Africana Religions
Ravelli G.,Strategies of Survival: Reviving the Neo-Fascist Network Through a Transnational Magazine,,European History Quarterly
Nguyen D.T.,Some discussions between Confucianism and Catholicism in Vietnamese history,,XLinguae
Molnar C.A.,The Cold War and Return Migration: The West German Response to Yugoslavia's Efforts to Influence its Workers Abroad,,European History Quarterly
Rasimoglu C.G.I.,Hidden Curriculum and Politicization of Medical Students in the Late Ottoman Empire,,Journal of the History of Medicine and Allied Sciences
"Bergmann C., Westemeier J., Gross D.",The Editors of Scientific Journals in Dentistry in Nazi Germany and after 1945: A Sociodemographic Study,,Journal of the History of Medicine and Allied Sciences
Ofer D.,Reflections on an Academic Path: The Inspiration of a Teacher and Mentor,,Journal of Holocaust Research
"Oni A.G., Olorunfemi M.O., Ogunfolakan B.A., Okunubi M.O.","Archaeo-geophysical investigation of Ife city grand resort iron smelting site at Ile-ife, Southwest Nigeria",,Journal of African Archaeology
"Akyuz Cim E.F., Kurhan F., Dinc D., Atli A.",Assessment of COVID-19 trauma responses. Who has been more traumatized during the pandemic? [Qui a été le plus traumatisé pendant la pandémie ? Évaluation des réponses aux traumatismes liés au COVID-19],,Annales Medico-Psychologiques
Parker E.,World Christianity as a Critique of Whiteness in Theological Education,,Ecumenical Review
"Byrne S., Marcet E.",La lluita continua: socio-political debate and the linguistic landscape of a Catalan city,,Social Semiotics
Dawson E.,"Perpetual Motion, Time, and Power: Christoph Ransmayr's Cox as Novel of the Anthropocene",,German Quarterly
"Laugesen A., Rahimi-Moghaddam M.",Franklin Book Programs in Iran (ca 1953–1978) and the politics of translation during the Cold War,,Translation Studies
[No author name available],History of Soviet Medicine: A Review of the Newest Studies (2010-2020) [История советской медицины. Обзор новейших исследований (2010-2020 гг.)],,Cahiers du Monde Russe
Pandit P.,THE TRANSITION within VIRTUE ETHICS in the CONTEXT of BENEVOLENCE,,Philosophia (Philippines)
Galarosa J.M.,WHERE GOD IS: KANT’S IDEA of GOD in HIS DEVELOPING METAPHYSICAL THOUGHT,,Philosophia (Philippines)
Harper W.,Political theology beyond interruption: (re)discovering the ambiguity of the practice of theology,,Theology
Schmal D.,"Representation, reflection, and self-esteem in the amour pur debate",,Intellectual History Review
Michman D.,"Solidarity, Hope, and Wrestling with God: The Perspective of the Will for Life of the Jewish People in Modern Times as a Major Theme in Yehuda Bauer’s Historiography",,Journal of Holocaust Research
Al-Baldawi M.T.,The Relationship between Interior Design and Historical Society (An Analytical Study),,Dirasat: Human and Social Sciences
Fowler J.,"Historical Institutionalism, Hybridity and Institutional Logics in Public Transport History",,Journal of Transport History
